SMILES,SPLIT,plogP
CCCS(=O)c1ccc2[nH]c(=NC(=O)OC)[nH]c2c1,train,-2.131918487593367
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,train,0.7929728819409547
Cc1c(Cl)cccc1Nc1ncccc1C(=O)OCC(O)CO,train,-0.3667754881239609
Cn1cnc2c1c(=O)n(CC(O)CO)c(=O)n2C,train,-5.202260804603579
CC1Oc2ccc(Cl)cc2N(CC(O)CO)C1=O,train,-2.2486503501092505
CCOC(=O)c1cncn1C1CCCc2ccccc21,train,0.2552689320976942
COc1ccccc1OC(=O)Oc1ccccc1OC,train,1.6054226661470254
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,train,-0.7065379560190626
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,train,-0.6921068820783711
CCC(=O)c1ccc(OCC(O)CO)c(OC)c1,train,-1.3739089207731252
Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2CC1CC=CCC1,train,-2.212397217959148
COc1cc2c(cc1O)N=CC1CCC(O)N1C2=O,train,-3.7464968056472427
COc1c(C)cnc(CS(=O)c2nc3ccccc3[nH]2)c1C,train,-0.09122265639395533
COc1cc(C)c(Cc2cnc(N)nc2N)cc1OC,train,-0.6893950960907369
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,train,-1.2476338460678815
CC1CC(OC(=O)CN2CCCC2=O)CC(C)(C)C1,train,-0.9249218642606172
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,train,-0.17436947994370833
COC(=O)c1c[nH]c2cc(OC(C)C)c(OC(C)C)cc2c1=O,train,0.537741864743289
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,train,-2.5076213815266573
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,train,-1.2350914110386215
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,train,0.21251833648640783
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,train,-0.6468251360507784
CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,train,-1.413776270184087
COc1ccc(C=C2CCCN=C2c2cccnc2)c(OC)c1,train,1.3389179767391424
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,train,0.7067393479052884
CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,train,0.9501713523334709
CC(=O)Oc1cccc(OC(C)=O)c1OC(C)=O,train,-0.6433760029149931
CC1(C)C(=O)Nc2cc3nc(-c4ccncc4)[nH]c3cc21,train,0.24044637956783088
CC(C)C=c1[nH]c(=O)c(=Cc2ccccc2)[nH]c1=O,train,-2.4191065632632687
NC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,train,-0.25564446672010943
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,train,0.05096818127478375
CNC(=O)Oc1ccccc1C(=O)Nc1ccccc1,train,0.9949072815316393
COc1ccc(-c2nnc(C)nc2-c2ccc(OC)cc2)cc1,train,1.5851249822709237
Nc1ncnc2c1ncn2Cc1c(F)cccc1Cl,train,-0.019236123011696193
Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,train,-0.2643391533147277
Cc1cc(Cc2cnc(N)nc2N)c2cccnc2c1N(C)C,train,-0.5659257825892183
NS(=O)(=O)c1ccc(NCc2ccccc2)cc1,train,0.41359679120265636
CC1(C)C=C(n2ccccc2=O)c2cc(C#N)ccc2O1,train,0.07487092976339937
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,train,-0.8389667057622789
CN(CCO)c1nc2c(c(=O)n(C)c(=O)n2C)n1C,train,-4.354815712755285
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,train,-1.0959009595514182
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,train,0.27700618400068855
NS(=O)(=O)c1cc2c(cc1Cl)CN(C1CCCCC1)C2=O,train,-0.14768924377434356
CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,train,0.10443421529143215
CC1(C)Oc2ccc(C#N)cc2C(N2CCCC2=O)C1O,train,-1.5811134744471924
Nc1nc2c(ncn2C2CC(CO)C2CO)c(=O)[nH]1,train,-5.027729686234062
CC12CCC3=C(CCc4cc(O)ccc43)C1CCC2=O,train,0.35814789240563183
CNC(=O)c1ccc(Cl)c(S(=O)(=O)NC)c1,train,-1.3049495742494301
NC(=O)c1cc(Br)cc(Br)c1O,train,-0.19754429093637382
O=C(c1ccccc1)c1cccc(NS(=O)(=O)C(F)F)c1,train,0.8898452389842779
CCCN(CCC)S(=O)(=O)c1ccc(C)cc1,train,1.016298903109277
O=C1OCC(Cc2cccc(O)c2)C1Cc1cccc(O)c1,train,-0.444678061523871
CCc1ccccc1-n1c(C)nc2ccccc2c1=O,train,1.4096341641227337
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,train,0.4527417654877075
CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,train,0.9045864578385414
Cc1c(O)c(C)c2c(c1O)C(=O)CC(c1ccc(O)cc1)O2,train,0.0992597257400405
CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,train,0.05824282024579919
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,train,-4.96844927214576
COc1c(OC)c(OC(C)=O)c2cc(Cl)ccc2c1OC(C)=O,train,1.0342545198301378
Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl,train,1.57505054365497
CCOc1ccc(-n2c(C)nc3ccccc3c2=O)cc1,train,1.3585248411062931
Cc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1,train,1.6581146462190732
Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2,train,-2.4320327356867093
Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,train,0.7209908763534241
